symbol,sector,daily,weekly,monthly
AAPL,Technology,-3.2130496937285313,-0.15118070783298743,1.9065788377024218
MSFT,Technology,-2.2353905603506474,-1.1303327109662087,-8.518347861481178
GOOGL,Technology,1.4249478864060583,-1.0222874812341298,-7.763310720229288
AMZN,Technology,1.000385652833935,-0.05235381944316275,-12.244046250772744
META,Technology,-1.3439699484934287,-1.1408322568291274,-9.535241775885384
NVDA,Technology,-4.164636796831145,-6.653674215300198,-7.293466271794047
AMD,Technology,-1.7036459577242868,0.02998392166519981,-15.426853239039474
INTC,Technology,0.32996376792744364,3.400589388448094,-1.8506576022391363
CRM,Technology,-2.3462214397803716,5.20090161674267,-8.243440837276218
ORCL,Technology,-3.2665848858093205,-1.809837858881136,-11.65391160601581
ADBE,Technology,1.3009554532203094,1.4694012318901883,-10.516622792119568
QCOM,Technology,-2.218556088182577,-0.36394474712360125,-6.088789465345467
MU,Technology,-0.7676394407901244,-3.6901272426948184,-0.6049965619177033
AVGO,Technology,-0.6683320896732958,-3.938074956824489,-3.546634600947418
NOW,Technology,-1.180238682076229,3.5868472365705895,-7.691650145875251
SNOW,Technology,-2.6869258997360146,-2.3710123697916696,-12.605082340845563
TSLA,Automotive,-1.4856275407819197,-2.260695787726541,-6.482189925675397
F,Automotive,-2.220677988984765,0.5710201456037955,2.6123853397384433
GM,Automotive,-2.5745782986554278,-3.4351649838973985,-6.297620137532556
JPM,Financials,-1.904425243149721,-3.375276058926746,-1.827463005581742
BAC,Financials,-4.722748455138759,-6.087447151598124,-6.334584367585949
GS,Financials,-7.473626768114238,-6.795409391673579,-8.10767128827633
MS,Financials,-6.186270013243655,-5.073832147234569,-8.911383081492364
WFC,Financials,-5.619937348793447,-8.173619221464556,-9.547673722370408
BRK-B,Financials,0.45357763908562276,1.3548775260155965,5.081891555109808
V,Financials,1.0862021815008616,-0.25237498918406764,-0.3199821969222194
MA,Financials,0.47399855252412415,-1.747677977474238,-4.005263077404964
AXP,Financials,-7.879044748495733,-10.768963997931525,-12.286684806038728
JNJ,Healthcare,2.0372084569802773,2.9942138018163034,9.901290651513017
PFE,Healthcare,2.0295174513599745,3.7523452694711468,4.576395839758196
MRK,Healthcare,3.788764901460584,1.2759672266776878,12.28802345539004
ABBV,Healthcare,3.288975615003409,3.2338438465425057,4.067085578059482
UNH,Healthcare,2.3058624388192506,1.1275824185075445,2.2095969399248405
CVS,Healthcare,2.4227654632644313,4.185681291280696,7.219545256532256
LLY,Healthcare,2.932425014225326,4.206946854094595,1.6001318529584863
AMGN,Healthcare,2.3277930568142757,3.578386567607561,14.323625451243993
XOM,Energy,2.6659532064465807,3.5442702770017265,8.568940599419994
CVX,Energy,1.4118108128934104,1.5386298829703104,6.60652850398924
COP,Energy,2.4932269307296417,2.650864324197011,9.702533317006168
SLB,Energy,-0.2913216566113208,0.9636218154778664,6.74401277393335
OXY,Energy,3.2082471633056775,2.3919785393845094,16.942063328513758
WMT,Consumer Staples,2.8371635036544607,4.0328475246959705,7.3946597311794315
KO,Consumer Staples,1.3167671535326164,2.15431024498538,9.02285820115576
PEP,Consumer Staples,1.288938798489192,2.910150952291257,10.486233221589835
PG,Consumer Staples,2.106868365338732,3.9930328509070634,10.16669449918508
PM,Consumer Staples,-0.3573323567708342,1.8702333962488105,4.118367860623251
COST,Consumer Staples,2.4373176349380854,2.5901486892126346,7.50225770032904
MCD,Consumer Discretionary,1.9519919896944682,3.5932284960367378,8.273015097966274
NKE,Consumer Discretionary,-2.767788016649142,-4.923549152256468,0.5986068980167403
SBUX,Consumer Discretionary,-0.06117983979204711,0.5436442618836468,7.288879313260432
HD,Consumer Discretionary,1.5009744162147287,-0.4002612895479096,1.6364571779122095
DIS,Consumer Discretionary,0.4642329224085806,0.4356877026851391,-5.992909533104063
BA,Industrials,-0.8194955986232877,-1.9394043975668573,-2.6484692833631307
CAT,Industrials,-1.3414229323026383,-2.2257579384908577,13.00201315000502
GE,Industrials,0.41662171194447595,-0.27970148932573435,11.561654627846018
HON,Industrials,1.6270991100005405,0.3399407787512576,7.5946501365598
UPS,Industrials,-0.5744647043843365,-0.6596455498304454,10.692075774332821
RTX,Industrials,2.5249153018712445,-1.122390724336031,1.1760245451350793
T,Communication Services,2.0029175628056617,0.10722189827137019,6.867612389485123
VZ,Communication Services,2.556760105553746,1.8071053596922626,12.623537453052114
NFLX,Communication Services,13.77231591232555,22.333799547182288,15.271290365588651
SPOT,Communication Services,3.8918609467289755,4.96127110376654,2.915958061339996
NEE,Utilities,2.6300523854436264,2.41850453039405,7.4054359959738525
DUK,Utilities,1.2535869608725436,3.2102913420152035,8.746971707530871
AMT,Real Estate,3.702505976379844,2.429129844142186,7.01695778486775
PLD,Real Estate,-0.06308449150456141,0.7490727570706124,9.198843436126026
SPY,ETF,-0.4801969559279806,-0.49896327081087044,-0.8641965290305365
QQQ,ETF,-0.32007291679606586,-0.24967059301678196,-2.344544230196577
IWM,ETF,-1.7218642582113697,-1.2093200811003402,0.6778393248592529
DIA,ETF,-1.0507985780581763,-1.2941426955189295,0.2531386942494551
VTI,ETF,-0.5051547093995801,-0.4408264167956699,-0.5285310719781888
XLF,ETF,-2.0380946568080316,-2.019434824529387,-3.7612245007218603
XLK,ETF,-1.5956315776545327,-1.5048341159130674,-3.558528080497847
XLE,ETF,1.5803795530283438,1.8950384121517505,9.539665043421408
XLV,ETF,1.7659756140470328,2.155330612270312,3.5284937710043707
EEM,ETF,-0.2072990835845112,0.3849882545385874,5.88833070521555
GLD,Commodity,1.313141674919538,3.2286298153003434,8.720077925273873
SLV,Commodity,5.643258033245391,10.924033956081903,12.659060330466843
USO,Commodity,2.7328574613463497,1.3605423560684171,3.0558355228347045
DJP,Commodity,1.353275663054987,1.9097618732795585,0.5416852265558214
GDX,Commodity,1.7121757473812282,9.015616421104667,22.972399247038666
BTC-USD,Crypto,1.5984119285604947,1.5984119285604947,-14.864019020017183
ETH-USD,Crypto,1.6993512152046364,1.6993512152046364,-19.69331097774799
BNB-USD,Crypto,0.6497981912616524,0.6497981912616524,-20.823660118871157
SOL-USD,Crypto,1.8338237190273832,1.8338237190273832,-20.852594648161915
XRP-USD,Crypto,1.3760507249243714,1.3760507249243714,-16.46287229833696
ADA-USD,Crypto,0.9495049102124842,0.9495049102124842,-4.511137791970265
AVAX-USD,Crypto,1.6504493412007548,1.6504493412007548,-9.874535583482668
DOT-USD,Crypto,1.8161105778117026,1.8161105778117026,5.473233763795249
LINK-USD,Crypto,0.9810537095915395,0.9810537095915395,-11.78092775516405
DOGE-USD,Crypto,0.6372772097211987,0.6372772097211987,-9.734939286488032
LTC-USD,Crypto,0.2590283557942996,0.2590283557942996,-8.013143472618477
AAPL.BA,CEDEAR,-3.9031620553359736,1.725941422594146,0.05151069401994057
MSFT.BA,CEDEAR,-3.616273229532896,0.0,-11.074932688131344
GOOGL.BA,CEDEAR,-1.5852885225110969,-1.6476552598225558,-11.161991986262166
AMZN.BA,CEDEAR,-0.8849557522123908,0.8053055423969724,-15.219123505976096
META.BA,CEDEAR,,,0.0
NVDA.BA,CEDEAR,-4.363001745200701,-3.8596491228070184,-8.437761069340022
TSLA.BA,CEDEAR,-3.567888999008917,-1.816347124117057,-10.651974288337929
MELI.BA,CEDEAR,-1.338255652976461,-11.652892561983474,-21.16519174041298
BABA.BA,CEDEAR,-3.792250618301729,-5.962933118452862,-18.220042046250875
PYPL.BA,CEDEAR,-0.5988023952095856,10.006626905235262,-15.949367088607591
JPM.BA,CEDEAR,-4.743083003952564,-3.342245989304815,-5.736636245110827
KO.BA,CEDEAR,-0.04196391103651331,3.6102653327533707,6.577181208053684
WMT.BA,CEDEAR,1.2682926829268304,5.434230573895382,4.479114242576743
XOM.BA,CEDEAR,1.0874490258269143,4.4475655430711525,5.385445436254588
GLD.BA,CEDEAR,-0.07062146892655718,4.659763313609466,3.7390029325513163
SPY.BA,CEDEAR,-2.052785923753664,0.5620232838217554,-3.700144161460839
QQQ.BA,CEDEAR,-2.12389380530974,0.5911778080945895,-5.4296707994869635
DISN.BA,CEDEAR,-0.7674597083653145,1.3322884012539227,-8.167613636363635
GLOB.BA,CEDEAR,3.578399479505534,7.7860528097494885,-29.495128432240925
MU.BA,CEDEAR,-3.8275584206285296,-2.987197724039825,-5.912495072920776
JNJ.BA,CEDEAR,0.9583333333333277,3.0629033163868113,6.2257308768792985
